################ NH3 FUV Absorption Cross Section  ####################
Source Liang et al. (2007), interpolated to 0.01 nm
 
 COLUMN 1:      vacuum wavelength (nm) 
 COLUMN 2:      cross section (cm^2/molecule)   @300
 
DATE OF FILE CREATION: 11.09.2018 - Henrik Melin
 
NUMBER OF LINES: 8601
      146.320  1.02335e-18
      146.330  1.04345e-18
      146.340  1.06354e-18
      146.350  1.01555e-18
      146.360  9.67640e-19
      146.370  9.33896e-19
      146.380  9.00100e-19
      146.390  8.78970e-19
      146.400  8.57840e-19
      146.410  8.66567e-19
      146.420  8.75280e-19
      146.430  8.10455e-19
      146.440  7.45530e-19
      146.450  7.63321e-19
      146.460  7.81140e-19
      146.470  7.05775e-19
      146.480  6.30410e-19
      146.490  6.12441e-19
      146.500  5.94500e-19
      146.510  5.92137e-19
      146.520  5.89770e-19
      146.530  6.56935e-19
      146.540  7.24100e-19
      146.550  7.07687e-19
      146.560  6.91300e-19
      146.570  6.41457e-19
      146.580  5.91690e-19
      146.590  5.92210e-19
      146.600  5.92730e-19
      146.610  5.44040e-19
      146.620  4.95350e-19
      146.630  4.97417e-19
      146.640  4.99480e-19
      146.650  4.84861e-19
      146.660  4.70220e-19
      146.670  4.44285e-19
      146.680  4.18350e-19
      146.690  4.69079e-19
      146.700  5.19730e-19
      146.710  4.93555e-19
      146.720  4.67420e-19
      146.730  4.55604e-19
      146.740  4.43770e-19
      146.750  4.84410e-19
      146.760  5.25050e-19
      146.770  5.56404e-19
      146.780  5.87710e-19
      146.790  6.65970e-19
      146.800  7.44350e-19
      146.810  8.13897e-19
      146.820  8.83550e-19
      146.830  7.83800e-19
      146.840  6.84050e-19
      146.850  8.42516e-19
      146.860  1.00074e-18
      146.870  1.02141e-18
      146.880  1.04212e-18
      146.890  2.74871e-18
      146.900  4.45530e-18
      146.910  5.72825e-18
      146.920  6.99926e-18
      146.930  6.15499e-18
      146.940  5.30944e-18
      146.950  6.89793e-18
      146.960  8.48884e-18
      146.970  6.44303e-18
      146.980  4.39722e-18
      146.990  4.99380e-18
      147.000  5.58948e-18
      147.010  5.13623e-18
      147.020  4.68228e-18
      147.030  4.87646e-18
      147.040  5.07064e-18
      147.050  4.70114e-18
      147.060  4.33220e-18
      147.070  3.82472e-18
      147.080  3.31801e-18
      147.090  3.20202e-18
      147.100  3.08586e-18
      147.110  3.36109e-18
      147.120  3.63632e-18
      147.130  3.37951e-18
      147.140  3.12310e-18
      147.150  3.63475e-18
      147.160  4.14718e-18
      147.170  3.69122e-18
      147.180  3.23526e-18
      147.190  2.54898e-18
      147.200  1.86375e-18
      147.210  1.85562e-18
      147.220  1.84750e-18
      147.230  1.72797e-18
      147.240  1.60825e-18
      147.250  1.45841e-18
      147.260  1.30856e-18
      147.270  1.41408e-18
      147.280  1.51943e-18
      147.290  1.56639e-18
      147.300  1.61342e-18
      147.310  1.46361e-18
      147.320  1.31358e-18
      147.330  1.79459e-18
      147.340  2.27560e-18
      147.350  1.64478e-18
      147.360  1.01493e-18
      147.370  7.77411e-19
      147.380  5.39530e-19
      147.390  6.63515e-19
      147.400  7.87500e-19
      147.410  7.89642e-19
      147.420  7.91780e-19
      147.430  7.42018e-19
      147.440  6.92180e-19
      147.450  6.51276e-19
      147.460  6.10310e-19
      147.470  7.11245e-19
      147.480  8.12180e-19
