# Data taken from Menang et al. (2013), which has been normalised to Thuillier. Smoothed to 0.0003 microns. Triangular.
# Wavelength (microns)    Spectral Luminosity (W micron-1)
1
6.955e5
       1.4523038   9.3363805e+25
       1.4523070   9.3353595e+25
       1.4523102   9.3343652e+25
       1.4523133   9.3334059e+25
       1.4523165   9.3324901e+25
       1.4523197   9.3316083e+25
       1.4523229   9.3307791e+25
       1.4523260   9.3299988e+25
       1.4523292   9.3292822e+25
       1.4523324   9.3286365e+25
       1.4523356   9.3280841e+25
       1.4523388   9.3276155e+25
       1.4523419   9.3272143e+25
       1.4523451   9.3269846e+25
       1.4523483   9.3268878e+25
       1.4523515   9.3269238e+25
       1.4523546   9.3270990e+25
       1.4523578   9.3274163e+25
       1.4523610   9.3278129e+25
       1.4523642   9.3283820e+25
       1.4523674   9.3290848e+25
       1.4523705   9.3298909e+25
       1.4523737   9.3307865e+25
       1.4523769   9.3317291e+25
       1.4523801   9.3327880e+25
       1.4523832   9.3339132e+25
       1.4523864   9.3350726e+25
       1.4523896   9.3362855e+25
       1.4523928   9.3374615e+25
       1.4523960   9.3387168e+25
       1.4523991   9.3399776e+25
       1.4524023   9.3412532e+25
       1.4524055   9.3424578e+25
       1.4524087   9.3437297e+25
       1.4524119   9.3449933e+25
       1.4524150   9.3461988e+25
       1.4524182   9.3474559e+25
       1.4524214   9.3486928e+25
       1.4524246   9.3498475e+25
       1.4524277   9.3510207e+25
       1.4524309   9.3521192e+25
       1.4524341   9.3530711e+25
       1.4524373   9.3539455e+25
       1.4524405   9.3546298e+25
       1.4524436   9.3550541e+25
       1.4524468   9.3552875e+25
       1.4524500   9.3552367e+25
       1.4524532   9.3548383e+25
       1.4524563   9.3542037e+25
       1.4524595   9.3532205e+25
       1.4524627   9.3520298e+25
       1.4524659   9.3505882e+25
       1.4524691   9.3488634e+25
       1.4524722   9.3470178e+25
       1.4524754   9.3449628e+25
       1.4524786   9.3428285e+25
       1.4524818   9.3405421e+25
       1.4524850   9.3382362e+25
       1.4524881   9.3358529e+25
       1.4524913   9.3334355e+25
       1.4524945   9.3310208e+25
       1.4524977   9.3285452e+25
       1.4525008   9.3261186e+25
       1.4525040   9.3236338e+25
       1.4525072   9.3211951e+25
       1.4525104   9.3187002e+25
       1.4525136   9.3161961e+25
       1.4525167   9.3137380e+25
       1.4525199   9.3112154e+25
       1.4525231   9.3087316e+25
       1.4525263   9.3061758e+25
       1.4525295   9.3036467e+25
